indicativo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,latitude,longitude
5192,188.0,76.17692307692309,103.0,70.5,76.17692307692309,76.17692307692309,76.17692307692309,76.17692307692309,76.17692307692309,76.17692307692309,76.17692307692309,76.17692307692309,95.8,77.8,37.8,22.6,109.8,35.2,76.17692307692309,162.2,76.17692307692309,0.0,87.60000000000001,0.0,38.48916666666667,-2.6375
5270B,123.5,19.1,83.6,28.7,47.699999999999996,21.6,42.3,78.89999999999999,189.79999999999998,34.400000000000006,27.9,78.9,80.60000000000001,99.6,49.4,69.6,77.2,35.99999999999999,93.6,87.2,61.4,51.4,61.199999999999996,0.6,37.777499999999996,-3.8088888888888888
5390Y,154.1,8.0,82.8,30.1,67.9,33.5,53.800000000000004,108.4,0.0,38.199999999999996,39.0,66.4,26.4,6.0,61.0,48.800000000000004,94.2,56.2,79.0,81.0,127.0,70.2,111.39999999999999,3.8000000000000003,38.33305555555556,-4.608888888888888
5402,142.0,15.5,60.8,28.8,34.3,34.1,37.2,67.9,179.5,25.6,46.199999999999996,78.7,36.9,37.0,46.300000000000004,37.9,122.69999999999999,63.5,58.7,51.9,68.89999999999999,59.0,67.7,2.2,37.848888888888894,-4.846666666666667
5427X,121.0,6.6,108.2,31.6,45.9,9.2,22.599999999999998,101.0,150.6,54.7,12.0,103.6,56.8,86.3,69.3,50.4,86.2,30.4,85.3,75.2,108.8,62.900000000000006,66.0,0.0,37.55611111111111,-4.353888888888888
5514,71.9,4.3,72.8,32.3,60.6,6.1,27.8,56.1,37.5,48.4,21.2,80.1,68.3,53.4,30.400000000000002,28.4,53.3,25.8,28.400000000000002,87.0,69.0,35.2,48.7,0.0,37.13722222222222,-3.631388888888889
5530E,78.3,1.1,92.7,19.7,58.2,6.8,26.5,42.800000000000004,40.7,46.300000000000004,14.700000000000001,68.3,46.1,44.0,26.0,45.1,52.9,19.9,33.800000000000004,78.8,47.7,44.0,46.6,0.0,37.19027777777777,-3.789722222222222
5704B,149.00000000000003,3.6000000000000005,62.6,110.5,37.9,21.3,25.5,26.6,146.5,46.9,210.0,98.5,68.7,40.0,66.7,39.7,53.4,6.9,151.5,119.0,52.8,88.0,96.10000000000001,9.0,37.92638888888889,-5.769722222222222
5783,134.7,1.6,44.6,84.4,23.9,8.7,50.4,37.3,174.1,19.7,53.699999999999996,110.7,53.0,26.4,35.4,43.1,60.3,48.900000000000006,81.30000000000001,75.5,72.4,33.0,63.400000000000006,2.0,37.416666666666664,-5.879166666666667
5796,122.9,0.9,55.1,78.3,71.4,6.3,29.4,40.4,187.0,31.3,27.4,132.8,56.4,45.7,131.4,41.300000000000004,88.0,33.8,85.3,68.9,63.9,25.200000000000003,70.4,2.4,37.16444444444444,-5.6113888888888885
5860E,42.7,0.0,67.8,40.0,41.0,8.5,16.1,24.6,45.5,41.0,46.7,79.4,14.1,15.2,16.1,16.8,69.5,72.8,85.0,38.7,80.2,25.4,41.9,1.7,37.09805555555556,-6.7380555555555555
5910,117.9,8.4,58.3,73.9,30.599999999999998,0.0,29.300000000000004,53.7,120.6,48.5,57.6,57.5,53.800000000000004,47.7,45.7,28.7,44.1,37.0,80.89999999999999,38.7,109.9,8.0,56.1,0.8999999999999999,36.638888888888886,-6.3325
5960,142.0,2.1,49.8,98.60000000000001,49.4,0.0,23.1,29.6,148.0,45.2,25.900000000000002,60.5,57.900000000000006,55.900000000000006,56.1,35.7,46.5,26.8,99.6,47.0,62.0,17.7,68.4,3.3000000000000003,36.75055555555556,-6.055833333333333
5972X,102.9,2.7,42.6,66.6,40.300000000000004,2.9,32.5,25.0,79.9,19.2,22.099999999999998,69.4,48.0,87.2,35.800000000000004,15.7,39.4,42.2,87.7,51.9,53.2,11.6,43.4,0.8,36.46555555555556,-6.205555555555556
5973,126.8,2.3,45.3,90.0,35.199999999999996,0.0,36.6,39.6,101.7,52.2,33.8,26.6,48.800000000000004,54.599999999999994,41.0,12.9,36.5,34.6,66.1,41.1,42.300000000000004,8.2,41.800000000000004,0.0,36.499722222222225,-6.257777777777778
5995B,37.3,0.0,83.6,100.6,63.7,1.9999999999999998,35.3,63.1,60.5,33.300000000000004,77.0,69.4,58.8,76.8,96.60000000000001,19.0,60.9,68.8,49.2,63.0,63.1,23.0,42.5,0.8,36.245555555555555,-5.965
6000A,30.1,2.7,123.39999999999999,28.299999999999997,67.6,29.700000000000003,37.7,177.9,10.5,21.1,55.0,38.4,8.6,15.2,4.1,7.7,38.6,14.0,112.0,27.599999999999998,58.6,57.6,114.39999999999999,0.0,35.27638888888889,-2.956388888888889
